date,phi_1_tc_0.0_omega_0.0_constraint_no_min,phi_1_tc_0.0_omega_0.0_constraint_min_3percent,phi_1_tc_0.0_omega_0.1_constraint_no_min,phi_1_tc_0.0_omega_0.1_constraint_min_3percent,phi_1_tc_0.05_omega_0.0_constraint_no_min,phi_1_tc_0.05_omega_0.0_constraint_min_3percent,phi_1_tc_0.05_omega_0.1_constraint_no_min,phi_1_tc_0.05_omega_0.1_constraint_min_3percent
2018-01-02 00:00:00+00:00,1.0639877508754094,1.0508466464599708,1.027025398748289,1.0308407834128366,1.0639877508754094,1.0508466464599708,1.027025398748289,1.0308407834128366
2018-01-03 00:00:00+00:00,1.0189512323198366,1.0338604038239767,1.0415962409009594,1.0407272725845058,0.9125524572322953,0.9855214580868173,1.0312416387271919,1.0345391629531382
2018-01-04 00:00:00+00:00,1.022201794690655,1.0415181778621383,1.049451196812,1.043719332968234,0.8242083505163014,0.947487199883319,1.02076339899493,1.026809881306358
2018-01-05 00:00:00+00:00,1.035894437206039,1.054177136289433,1.0679311877958744,1.055920863765953,0.7528279874736532,0.915418863327284,1.0285039454522884,1.0357419740564415
2018-01-08 00:00:00+00:00,1.002619401507219,1.0336469009338687,1.0793989210535104,1.0635839760545225,0.6533628229769151,0.8554816954767015,1.0297270410470722,1.0365729639423373
2018-01-09 00:00:00+00:00,0.9574883359692904,1.004637656360905,1.0760837762177013,1.0620619214813258,0.5978871636416918,0.831472647793826,1.0226973198425213,1.032559000456663
2018-01-10 00:00:00+00:00,0.963800139542945,1.009668350825836,1.0821047308009355,1.0659721619609706,0.5420397447266403,0.7973884816093773,1.0165883394803605,1.0287431112361975
2018-01-11 00:00:00+00:00,0.9542129615585355,1.0063592773006598,1.102330112372818,1.077619004543603,0.48244395581640775,0.7580952611293542,1.022145125814655,1.0299521340967681
2018-01-12 00:00:00+00:00,0.9413547906767429,1.0036254061557284,1.1234635139360363,1.0900832042752413,0.42769855147185576,0.7211634408966225,1.0288941438721841,1.0335858231835717
2018-01-16 00:00:00+00:00,0.9103454563956268,0.9914428172139861,1.1236328957597048,1.0934345558364762,0.3708398028644207,0.6792360213028269,1.0218508358079845,1.034214739614438
2018-01-17 00:00:00+00:00,0.9103296543496668,0.9954097214284413,1.1130458423777998,1.0868781305037112,0.3337493854308852,0.6507088845874777,1.0094456090653285,1.027276664110398
2018-01-18 00:00:00+00:00,0.8718822006541413,0.9664222982899009,1.1117994662963235,1.0850277469019993,0.2878171105784019,0.6018269192933484,1.0026419030442495,1.0226315325250437
2018-01-19 00:00:00+00:00,0.8760219483050674,0.9683407916671977,1.1127684165969343,1.087625055893301,0.2604019719847309,0.5753375978092498,0.9982588601583806,1.023780036651631
2018-01-22 00:00:00+00:00,0.8688550720690699,0.966716699522948,1.142468287009426,1.1029821314530228,0.23223138443652375,0.5479071174570452,1.0197964292709567,1.0335950445645474
2018-01-23 00:00:00+00:00,0.8676111291582608,0.9784176568169923,1.1964235854663197,1.1421283519219598,0.20867575949008874,0.5293351548571238,1.0596273251518507,1.061834955287145
2018-01-24 00:00:00+00:00,0.8506420636476135,0.9734628466824871,1.2104782237754288,1.1549404195992905,0.19975873661375584,0.520218677457697,1.066462985803569,1.0685284546641642
2018-01-25 00:00:00+00:00,0.7940502312290008,0.9370984611176147,1.2341955788008232,1.1752091604630819,0.16649323923200593,0.4768554857107037,1.0817036105647557,1.0818289006357995
2018-01-26 00:00:00+00:00,0.7422366600581253,0.9430061233558246,1.2560475552098185,1.1822951080739268,0.1492555711991266,0.4798616811777803,1.0964611469834877,1.0836490265705738
2018-01-29 00:00:00+00:00,0.7418337158105099,0.9500489011471586,1.2792340808278637,1.1910214262377252,0.13864066609512685,0.46137185852667595,1.1136322685695552,1.087941350722757
2018-01-30 00:00:00+00:00,0.7207521207885951,0.9248871204131632,1.2820502073456943,1.1827308010274333,0.12083667829587326,0.4279294477680918,1.107313917225568,1.0743977392798938
2018-01-31 00:00:00+00:00,0.7342630011679308,0.946062558148841,1.279182869441413,1.1859439421325304,0.11232952343735932,0.41804220594445685,1.0961172195025208,1.0718009235370296
2018-02-01 00:00:00+00:00,0.7299883608520015,0.9379331024687657,1.2331699583468112,1.158957588347307,0.10044262515219543,0.39522005425578444,1.0543808904252958,1.04514862689937
2018-02-02 00:00:00+00:00,0.6805976086160794,0.8839554436646193,1.2603238499729934,1.1674757247180318,0.08360245042951607,0.3542951824969594,1.0740639712001987,1.0502187147862738
2018-02-05 00:00:00+00:00,0.6639561986247688,0.8843724322533688,1.2190337222986847,1.1525460274140837,0.07660106167141659,0.35100784583087896,1.0357494492542871,1.0353418510773027
2018-02-06 00:00:00+00:00,0.6786747598238115,0.8910062623356664,1.26787956727819,1.170869036036028,0.07063904555367526,0.33749445528884486,1.0705395143983272,1.0438083716239557
2018-02-07 00:00:00+00:00,0.6986953020773162,0.8840198782269416,1.2470637859202258,1.167188562025177,0.06565895504293455,0.3193234148043436,1.0346415107085465,1.0237809351239673
2018-02-08 00:00:00+00:00,0.638405005973291,0.8435454456871619,1.1858408471077075,1.1334713217579129,0.053427359726934916,0.2900144660154623,0.9658937724771796,0.9776096460187734
2018-02-09 00:00:00+00:00,0.6286637758196912,0.8347392378930784,1.1781631444768186,1.1264006835502902,0.052612127699100474,0.28698685480129466,0.9590636385875707,0.9714254351552302
2018-02-12 00:00:00+00:00,0.6439542053200655,0.8535613900812341,1.2189999641315767,1.15608540424784,0.048630552885741765,0.2802565944311577,0.9820415875601624,0.9849975240643761
